"Time","Diffus","Global 0°","Global 45°","Global 60°","Global 30°","ClearSky 0° F"
2023-01-01 07:05:00,12.4 W/m²,13.2 W/m²,25.6 W/m²,25.3 W/m²,21.7 W/m²,10.6 W/m²
2023-01-01 07:10:00,16.1 W/m²,26.6 W/m²,102 W/m²,104 W/m²,82.2 W/m²,18.1 W/m²
2023-01-01 07:15:00,19.4 W/m²,36.1 W/m²,134 W/m²,136 W/m²,110 W/m²,26.8 W/m²
2023-01-01 07:20:00,22.5 W/m²,45.8 W/m²,167 W/m²,169 W/m²,139 W/m²,36.2 W/m²
2023-01-01 07:25:00,25.1 W/m²,56.9 W/m²,204 W/m²,207 W/m²,170 W/m²,46.2 W/m²
2023-01-01 07:30:00,27.6 W/m²,66.8 W/m²,237 W/m²,239 W/m²,198 W/m²,56.6 W/m²
2023-01-01 07:35:00,30.2 W/m²,73.9 W/m²,264 W/m²,264 W/m²,222 W/m²,67.4 W/m²
2023-01-01 07:40:00,33.2 W/m²,83.4 W/m²,290 W/m²,289 W/m²,246 W/m²,78.4 W/m²
2023-01-01 07:45:00,35.5 W/m²,94.7 W/m²,320 W/m²,318 W/m²,273 W/m²,89.6 W/m²
2023-01-01 07:50:00,37.5 W/m²,106 W/m²,348 W/m²,347 W/m²,298 W/m²,101 W/m²
2023-01-01 07:55:00,39.7 W/m²,118 W/m²,375 W/m²,378 W/m²,323 W/m²,112 W/m²
2023-01-01 08:00:00,42.2 W/m²,130 W/m²,403 W/m²,408 W/m²,348 W/m²,124 W/m²
2023-01-01 08:05:00,43.5 W/m²,142 W/m²,432 W/m²,436 W/m²,375 W/m²,135 W/m²
2023-01-01 08:10:00,45.0 W/m²,153 W/m²,460 W/m²,465 W/m²,400 W/m²,146 W/m²
2023-01-01 08:15:00,46.9 W/m²,166 W/m²,491 W/m²,496 W/m²,428 W/m²,158 W/m²
2023-01-01 08:20:00,47.9 W/m²,178 W/m²,520 W/m²,525 W/m²,454 W/m²,169 W/m²
2023-01-01 08:25:00,47.9 W/m²,186 W/m²,535 W/m²,541 W/m²,469 W/m²,180 W/m²
