Time,date,hour,hour_sin,hour_cos,timestep,day_of_year,doy_sin,doy_cos,Diffus_kW,Global0_kW,Global45_kW,Global60_kW,Global30_kW,ClearSky0_kW
2023-01-05 05:50:00,2023-01-05,5,0.9659258262890683,0.25881904510252074,10,5,0.08596479873744647,0.9962981749346078,-0.0030600000000000002,-0.00273,-0.00176,-0.0019199999999999998,-0.00277,0.0
2023-01-05 05:55:00,2023-01-05,5,0.9659258262890683,0.25881904510252074,11,5,0.08596479873744647,0.9962981749346078,-0.00313,-0.00278,-0.00184,-0.00175,-0.0028,0.0
2023-01-05 06:00:00,2023-01-05,6,1.0,6.123233995736766e-17,0,5,0.08596479873744647,0.9962981749346078,-0.00307,-0.00271,-0.00174,-0.0016699999999999998,-0.00264,0.0
2023-01-05 06:05:00,2023-01-05,6,1.0,6.123233995736766e-17,1,5,0.08596479873744647,0.9962981749346078,-0.00311,-0.00276,-0.00181,-0.0019,-0.00276,0.0
2023-01-05 06:10:00,2023-01-05,6,1.0,6.123233995736766e-17,2,5,0.08596479873744647,0.9962981749346078,-0.0029300000000000003,-0.0025499999999999997,-0.00171,-0.00188,-0.00233,0.0
2023-01-05 06:15:00,2023-01-05,6,1.0,6.123233995736766e-17,3,5,0.08596479873744647,0.9962981749346078,-0.00276,-0.0024300000000000003,-0.00139,-0.0016899999999999999,-0.0019199999999999998,0.0
2023-01-05 06:20:00,2023-01-05,6,1.0,6.123233995736766e-17,4,5,0.08596479873744647,0.9962981749346078,-0.0028799999999999997,-0.00261,-0.0012900000000000001,-0.00159,-0.00212,0.0
2023-01-05 06:25:00,2023-01-05,6,1.0,6.123233995736766e-17,5,5,0.08596479873744647,0.9962981749346078,-0.0028799999999999997,-0.0025299999999999997,-0.00117,-0.0013,-0.00221,0.0
2023-01-05 06:30:00,2023-01-05,6,1.0,6.123233995736766e-17,6,5,0.08596479873744647,0.9962981749346078,-0.00207,-0.00175,-0.000572,-0.000837,-0.0011799999999999998,0.0
2023-01-05 06:35:00,2023-01-05,6,1.0,6.123233995736766e-17,7,5,0.08596479873744647,0.9962981749346078,-0.00117,-0.000879,0.000441,0.000141,-0.00021,0.0
2023-01-05 06:40:00,2023-01-05,6,1.0,6.123233995736766e-17,8,5,0.08596479873744647,0.9962981749346078,-9.1e-05,0.00017,0.00195,0.00148,0.00107,0.0
2023-01-05 06:45:00,2023-01-05,6,1.0,6.123233995736766e-17,9,5,0.08596479873744647,0.9962981749346078,0.0018700000000000001,0.00206,0.00344,0.0029100000000000003,0.00287,0.0
2023-01-05 06:50:00,2023-01-05,6,1.0,6.123233995736766e-17,10,5,0.08596479873744647,0.9962981749346078,0.00292,0.0030600000000000002,0.00451,0.00401,0.00362,5.3600000000000005e-09
2023-01-05 06:55:00,2023-01-05,6,1.0,6.123233995736766e-17,11,5,0.08596479873744647,0.9962981749346078,0.00634,0.00658,0.00788,0.00705,0.00724,0.000706
2023-01-05 07:00:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,0,5,0.08596479873744647,0.9962981749346078,0.0154,0.0154,0.0173,0.0155,0.0167,0.00443
2023-01-05 07:05:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,1,5,0.08596479873744647,0.9962981749346078,0.0245,0.024399999999999998,0.027399999999999997,0.0251,0.0269,0.0105
2023-01-05 07:10:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,2,5,0.08596479873744647,0.9962981749346078,0.0349,0.0345,0.037200000000000004,0.033600000000000005,0.037399999999999996,0.0181
2023-01-05 07:15:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,3,5,0.08596479873744647,0.9962981749346078,0.0325,0.0324,0.037,0.0337,0.0367,0.0269
2023-01-05 07:20:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,4,5,0.08596479873744647,0.9962981749346078,0.0376,0.0375,0.0436,0.039799999999999995,0.043,0.0364
2023-01-05 07:25:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,5,5,0.08596479873744647,0.9962981749346078,0.0466,0.046700000000000005,0.0567,0.0521,0.0557,0.0464
2023-01-05 07:30:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,6,5,0.08596479873744647,0.9962981749346078,0.0577,0.066,0.11,0.103,0.101,0.057
2023-01-05 07:35:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,7,5,0.08596479873744647,0.9962981749346078,0.0522,0.0928,0.256,0.251,0.221,0.0678
2023-01-05 07:40:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,8,5,0.08596479873744647,0.9962981749346078,0.0431,0.0927,0.276,0.272,0.237,0.079
2023-01-05 07:45:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,9,5,0.08596479873744647,0.9962981749346078,0.0385,0.0755,0.205,0.203,0.179,0.0902
2023-01-05 07:50:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,10,5,0.08596479873744647,0.9962981749346078,0.0416,0.041299999999999996,0.040100000000000004,0.0367,0.0412,0.102
2023-01-05 07:55:00,2023-01-05,7,0.9659258262890683,-0.25881904510252063,11,5,0.08596479873744647,0.9962981749346078,0.049100000000000005,0.048299999999999996,0.040100000000000004,0.0355,0.0425,0.113
2023-01-05 08:00:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,0,5,0.08596479873744647,0.9962981749346078,0.0497,0.048799999999999996,0.039200000000000006,0.0345,0.0421,0.125
2023-01-05 08:05:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,1,5,0.08596479873744647,0.9962981749346078,0.0461,0.045200000000000004,0.0371,0.033100000000000004,0.039700000000000006,0.136
2023-01-05 08:10:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,2,5,0.08596479873744647,0.9962981749346078,0.047700000000000006,0.0469,0.0407,0.0366,0.0427,0.148
2023-01-05 08:15:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,3,5,0.08596479873744647,0.9962981749346078,0.0506,0.0499,0.0433,0.039,0.0456,0.159
2023-01-05 08:20:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,4,5,0.08596479873744647,0.9962981749346078,0.0625,0.0616,0.0549,0.0496,0.0574,0.17
2023-01-05 08:25:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,5,5,0.08596479873744647,0.9962981749346078,0.07809999999999999,0.07690000000000001,0.06709999999999999,0.0598,0.071,0.182
2023-01-05 08:30:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,6,5,0.08596479873744647,0.9962981749346078,0.0768,0.07579999999999999,0.0615,0.054,0.066,0.193
2023-01-05 08:35:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,7,5,0.08596479873744647,0.9962981749346078,0.0684,0.0676,0.055200000000000006,0.0497,0.0587,0.204
2023-01-05 08:40:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,8,5,0.08596479873744647,0.9962981749346078,0.0704,0.0693,0.062200000000000005,0.056600000000000004,0.0644,0.215
2023-01-05 08:45:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,9,5,0.08596479873744647,0.9962981749346078,0.0845,0.083,0.0716,0.06409999999999999,0.0755,0.225
2023-01-05 08:50:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,10,5,0.08596479873744647,0.9962981749346078,0.09570000000000001,0.09409999999999999,0.0823,0.0746,0.0868,0.236
2023-01-05 08:55:00,2023-01-05,8,0.8660254037844387,-0.4999999999999998,11,5,0.08596479873744647,0.9962981749346078,0.114,0.112,0.1,0.0906,0.106,0.246
2023-01-05 09:00:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,0,5,0.08596479873744647,0.9962981749346078,0.109,0.107,0.0933,0.0835,0.0986,0.256
2023-01-05 09:05:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,1,5,0.08596479873744647,0.9962981749346078,0.103,0.102,0.0892,0.0804,0.0938,0.266
2023-01-05 09:10:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,2,5,0.08596479873744647,0.9962981749346078,0.105,0.103,0.0888,0.0803,0.0937,0.275
2023-01-05 09:15:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,3,5,0.08596479873744647,0.9962981749346078,0.118,0.116,0.106,0.096,0.111,0.284
2023-01-05 09:20:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,4,5,0.08596479873744647,0.9962981749346078,0.121,0.119,0.111,0.101,0.115,0.293
2023-01-05 09:25:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,5,5,0.08596479873744647,0.9962981749346078,0.12,0.118,0.103,0.09259999999999999,0.109,0.302
2023-01-05 09:30:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,6,5,0.08596479873744647,0.9962981749346078,0.129,0.127,0.115,0.105,0.12,0.311
2023-01-05 09:35:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,7,5,0.08596479873744647,0.9962981749346078,0.16,0.157,0.149,0.136,0.155,0.319
2023-01-05 09:40:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,8,5,0.08596479873744647,0.9962981749346078,0.157,0.155,0.144,0.13,0.15,0.327
2023-01-05 09:45:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,9,5,0.08596479873744647,0.9962981749346078,0.147,0.145,0.134,0.122,0.141,0.334
2023-01-05 09:50:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,10,5,0.08596479873744647,0.9962981749346078,0.145,0.143,0.131,0.119,0.137,0.341
2023-01-05 09:55:00,2023-01-05,9,0.7071067811865476,-0.7071067811865475,11,5,0.08596479873744647,0.9962981749346078,0.162,0.171,0.178,0.165,0.182,0.348
2023-01-05 10:00:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,0,5,0.08596479873744647,0.9962981749346078,0.15,0.148,0.136,0.123,0.142,0.355
2023-01-05 10:05:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,1,5,0.08596479873744647,0.9962981749346078,0.146,0.145,0.134,0.123,0.14,0.361
2023-01-05 10:10:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,2,5,0.08596479873744647,0.9962981749346078,0.137,0.135,0.116,0.105,0.123,0.367
2023-01-05 10:15:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,3,5,0.08596479873744647,0.9962981749346078,0.158,0.156,0.143,0.131,0.149,0.373
2023-01-05 10:20:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,4,5,0.08596479873744647,0.9962981749346078,0.185,0.183,0.175,0.159,0.181,0.378
2023-01-05 10:25:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,5,5,0.08596479873744647,0.9962981749346078,0.167,0.166,0.155,0.14,0.161,0.383
2023-01-05 10:30:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,6,5,0.08596479873744647,0.9962981749346078,0.148,0.146,0.13,0.116,0.137,0.387
2023-01-05 10:35:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,7,5,0.08596479873744647,0.9962981749346078,0.114,0.113,0.0952,0.0848,0.101,0.392
2023-01-05 10:40:00,2023-01-05,10,0.49999999999999994,-0.8660254037844387,8,5,0.08596479873744647,0.9962981749346078,0.11,0.109,0.09609999999999999,0.0859,0.101,0.395
